.-----------------------------------------------------------------------------------------------------------.
| Report from 25 run(s) for <http://localhost:8081/components/epiviz-charts/performance/index-test.html> using phantomas v1.20.0 |
|-----------------------------------------------------------------------------------------------------------|
|             Metric             |     min      |     max      |   average    |    median    |    stddev    |
| jQueryDOMWriteReadSwitches     |            0 |            0 |            0 |            0 |            0 |
| documentWriteCalls             |            1 |            1 |            1 |            1 |            0 |
| evalCalls                      |            0 |            0 |            0 |            0 |            0 |
| jsErrors                       |            0 |            0 |            0 |            0 |            0 |
| closedConnections              |            0 |            0 |            0 |            0 |            0 |
| lazyLoadableImagesBelowTheFold |            0 |            0 |            0 |            0 |            0 |
| localStorageEntries            |            0 |            0 |            0 |            0 |            0 |
| redirects                      |            0 |            0 |            0 |            0 |            0 |
| redirectsTime [ms]             |            0 |            0 |            0 |            0 |            0 |
| repaints                       |            0 |            0 |            0 |            0 |            0 |
| firstPaint [ms]                |            0 |            0 |            0 |            0 |            0 |
| requestsToFirstPaint           |            0 |            0 |            0 |            0 |            0 |
| domainsToFirstPaint            |            0 |            0 |            0 |            0 |            0 |
| requestsToDomContentLoaded     |            7 |            7 |            7 |            7 |            0 |
| domainsToDomContentLoaded      |            2 |            2 |            2 |            2 |            0 |
| requestsToDomComplete          |            7 |            7 |            7 |            7 |            0 |
| domainsToDomComplete           |            2 |            2 |            2 |            2 |            0 |
| assetsNotGzipped               |            3 |            3 |            3 |            3 |            0 |
| assetsWithQueryString          |            1 |            1 |            1 |            1 |            0 |
| assetsWithCookies              |            0 |            0 |            0 |            0 |            0 |
| smallImages                    |            0 |            0 |            0 |            0 |            0 |
| smallCssFiles                  |            1 |            1 |            1 |            1 |            0 |
| smallJsFiles                   |            0 |            0 |            0 |            0 |            0 |
| multipleRequests               |            0 |            0 |            0 |            0 |            0 |
| timeToFirstCss [ms]            |           54 |           95 |        65.84 |           63 |        10.34 |
| timeToFirstJs [ms]             |           32 |           50 |         36.4 |           35 |         4.36 |
| timeToFirstImage [ms]          |            0 |            0 |            0 |            0 |            0 |
| domInteractive [ms]            |          109 |          162 |        120.2 |          117 |        12.41 |
| domContentLoaded [ms]          |          128 |          191 |       140.04 |          137 |        14.34 |
| domContentLoadedEnd [ms]       |          120 |          175 |       133.44 |          130 |        13.29 |
| domComplete [ms]               |          121 |          175 |       133.72 |          130 |        13.22 |
| timeBackend [%]                |            8 |           14 |         10.6 |           10 |          1.3 |
| timeFrontend [%]               |           86 |           92 |         89.4 |           90 |          1.3 |
| requestsWithTimeout            |            0 |            0 |            0 |            0 |            0 |
| statusCodesTrail               |          NaN |          NaN |          NaN |          NaN |          NaN |
| windowAlerts                   |            0 |            0 |            0 |            0 |            0 |
| windowConfirms                 |            0 |            0 |            0 |            0 |            0 |
| windowPrompts                  |            0 |            0 |            0 |            0 |            0 |
| bodyHTMLSize [bytes]           |        10990 |        10990 |        10990 |        10990 |            0 |
| iframesCount                   |            0 |            0 |            0 |            0 |            0 |
| smallestResponse [bytes]       |          522 |          522 |          522 |          522 |            0 |
| biggestResponse [bytes]        |        79576 |       520714 |    224255.48 |       103154 |    179964.27 |
| fastestResponse [ms]           |            4 |           12 |            7 |            7 |         1.77 |
| slowestResponse [ms]           |          188 |          245 |       206.04 |          198 |        17.66 |
| smallestLatency [ms]           |            4 |           12 |         6.72 |            6 |         1.71 |
| biggestLatency [ms]            |          102 |          170 |       115.32 |          112 |        13.59 |
| medianResponse [ms]            |           57 |           80 |        67.28 |           67 |         6.08 |
| medianLatency [ms]             |           51 |         71.5 |        60.32 |           60 |         5.67 |
'-----------------------------------------------------------------------------------------------------------'
